strain	accession	date	country
France_ERR1596593_AE017336.2	ERR1596593	2011-XX-XX	FRA
France_ERR1596603_AE017336.2	ERR1596603	1994-XX-XX	FRA
France_ERR1596608_AE017336.2	ERR1596608	2001-XX-XX	FRA
France_ERR1596624_AE017336.2	ERR1596624	2004-XX-XX	FRA
France_ERR1596628_AE017336.2	ERR1596628	2003-XX-XX	FRA
France_ERR1596643_AE017336.2	ERR1596643	2000-XX-XX	FRA
France_ERR1596645_AE017336.2	ERR1596645	1992-XX-XX	FRA
Russia_Yamal_ERR3170358_AE017336.2	ERR3170358	2016-07-XX	RUS
Russia_Yamal_ERR3170359_AE017336.2	ERR3170359	2016-07-XX	RUS
Russia_Yamal_ERR3170360_AE017336.2	ERR3170360	2016-07-XX	RUS
Russia_Yamal_ERR3170361_AE017336.2	ERR3170361	2016-07-XX	RUS
Russia_Yakutia_ERR3170362_AE017336.2	ERR3170362	2016-09-XX	RUS
Russia_Yakutia_ERR3170363_AE017336.2	ERR3170363	2016-09-XX	RUS
Russia_Yakutia_ERR3170364_AE017336.2	ERR3170364	2016-09-XX	RUS
Russia_Stavropol_ERR3170365_AE017336.2	ERR3170365	1993-XX-XX	RUS
Russia_Siberia_ERR3170366_AE017336.2	ERR3170366	2019-XX-XX	RUS
Estonia_ERR3170367_AE017336.2	ERR3170367	2019-XX-XX	EST
Russia_ERR3170368_AE017336.2	ERR3170368	2019-XX-XX	RUS
Switzerland_ERR899846_AE017336.2	ERR899846	1957-XX-XX	CHE
Switzerland_ERR899847_AE017336.2	ERR899847	1960-XX-XX	CHE
France_GCA_000697555_AE017336.2	GCA_000697555	2000-XX-XX	FRA
Zimbabwe_GCA_000743805_AE017336.2	GCA_000743805	2014-XX-XX	ZWE
Finland_GCA_003063925_AE017336.2	GCA_003063925	2008-XX-XX	FIN
Switzerland_GCA_003064015_AE017336.2	GCA_003064015	1970-XX-XX	CHE
Slovakia_GCA_003064045_AE017336.2	GCA_003064045	1972-XX-XX	SVK
Germany_GCA_003064085_AE017336.2	GCA_003064085	1970-XX-XX	DEU
SouthAfrica_GCF_000167295_AE017336.2	GCF_000167295	2004-XX-XX	ZAF
SouthAfrica_GCF_000181935_AE017336.2	GCF_000181935	2008-XX-XX	ZAF
Germany_GCF_000295695_AE017336.2	GCF_000295695	2009-07-XX	DEU
Korea_GCF_000725325_AE017336.2	GCF_000725325	2009-XX-XX	KOR
France_GCF_000832745_AE017336.2	GCF_000832745	1998-XX-XX	FRA
Austria_GCF_001936375_AE017336.2	GCF_001936375	1988-XX-XX	AUT
SouthAfrica_SRR2174564_AE017336.2	SRR2174564	2014-XX-XX	ZAF
UntiedStates_SRR2339636_AE017336.2	SRR2339636	2014-XX-XX	USA
UntiedStates_SRR2340305_AE017336.2	SRR2340305	1975-XX-XX	USA
SouthAfrica_SRR2968134_AE017336.2	SRR2968134	1939-XX-XX	ZAF
Bhutan_SRR5810980_AE017336.2	SRR5810980	2010-06-XX	BTN
UnitedStates_SRR5811079_AE017336.2	SRR5811079	1975-11-XX	USA
UnitedStates_SRR5811089_AE017336.2	SRR5811089	1905-XX-XX	USA
UnitedStates_SRR5811108_AE017336.2	SRR5811108	2017-XX-XX	USA
UnitedStates_SRR5811126_AE017336.2	SRR5811126	1975-1-XX	USA
UnitedStates_SRR5811166_AE017336.2	SRR5811166	1976-10-XX	USA
Sweden_SRR974956_AE017336.2	SRR974956	2013-09-XX	SWE
		
